validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
1.0,10,symmetric,auto,0.001,3,0.35310619949954664
1.0,10,symmetric,auto,0.01,3,0.3575923075175337
1.0,10,symmetric,auto,0.1,3,0.35513848331058107
1.0,10,symmetric,,0.001,3,0.3552778771190502
1.0,10,symmetric,,0.01,3,0.3539166804275971
1.0,10,symmetric,,0.1,3,0.35347855959295005
1.0,10,asymmetric,symmetric,0.001,3,0.3516861291006758
1.0,10,asymmetric,symmetric,0.01,3,0.3608742500521183
1.0,10,asymmetric,symmetric,0.1,3,0.3609363507139563
1.0,10,asymmetric,auto,0.001,3,0.36353084240536765
1.0,10,asymmetric,auto,0.01,3,0.3635561724102964
1.0,10,asymmetric,auto,0.1,3,0.35536044671507466
1.0,10,asymmetric,,0.001,3,0.3549226224821296
1.0,10,asymmetric,,0.01,3,0.36002237334792453
1.0,10,asymmetric,,0.1,3,0.3479987107328186
1.0,12,symmetric,symmetric,0.001,3,0.349035585368656
1.0,12,symmetric,symmetric,0.01,3,0.34538451719425184
1.0,12,symmetric,symmetric,0.1,3,0.34708477854525727
1.0,12,symmetric,auto,0.001,3,0.33847676907740126
1.0,12,symmetric,auto,0.01,3,0.350828730656602
1.0,12,symmetric,auto,0.1,3,0.3490144636246187
1.0,12,symmetric,,0.001,3,0.34199790034756467
1.0,12,symmetric,,0.01,3,0.3460758389782919
1.0,12,symmetric,,0.1,3,0.34687043362489406
1.0,12,asymmetric,symmetric,0.001,3,0.3435041624834927
1.0,12,asymmetric,symmetric,0.01,3,0.3426687234683801
1.0,12,asymmetric,symmetric,0.1,3,0.33491371358234967
1.0,12,asymmetric,auto,0.001,3,0.34165811216498637
1.0,12,asymmetric,auto,0.01,3,0.3498143536004363
1.0,12,asymmetric,auto,0.1,3,0.33463681460903644
1.0,12,asymmetric,,0.001,3,0.33542061575004106
1.0,12,asymmetric,,0.01,3,0.3396208728283035
1.0,12,asymmetric,,0.1,3,0.339305953413869
1.0,14,symmetric,symmetric,0.001,3,0.3606843826468631
1.0,14,symmetric,symmetric,0.01,3,0.35943979055693903
1.0,14,symmetric,symmetric,0.1,3,0.3575580209205968
1.0,14,symmetric,auto,0.001,3,0.3547380715865468
1.0,14,symmetric,auto,0.01,3,0.3538151600521529
1.0,14,symmetric,auto,0.1,3,0.3579727569615256
1.0,14,symmetric,,0.001,3,0.3605781564328079
1.0,14,symmetric,,0.01,3,0.3621594200169635
1.0,14,symmetric,,0.1,3,0.352232114380986
1.0,14,asymmetric,symmetric,0.001,3,0.35352248678766474
1.0,14,asymmetric,symmetric,0.01,3,0.34808254565483454
1.0,14,asymmetric,symmetric,0.1,3,0.3471466948579365
1.0,14,asymmetric,auto,0.001,3,0.35156550601564357
1.0,14,asymmetric,auto,0.01,3,0.350088430962853
1.0,14,asymmetric,auto,0.1,3,0.34852163884829
1.0,14,asymmetric,,0.001,3,0.3434314016228987
1.0,14,asymmetric,,0.01,3,0.35337124190901825
1.0,14,asymmetric,,0.1,3,0.35946937023548703
0.75,8,symmetric,symmetric,0.001,5,0.33531400580340676
0.75,8,symmetric,symmetric,0.01,5,0.3290601375824336
0.75,8,symmetric,symmetric,0.1,5,0.3209306305241193
0.75,8,symmetric,auto,0.001,5,0.32989330078599777
0.75,8,symmetric,auto,0.01,5,0.33543878760681
0.75,8,symmetric,auto,0.1,5,0.3292089812969376
0.75,8,symmetric,,0.001,5,0.3364950360741942
0.75,8,symmetric,,0.01,5,0.33564157378756415
0.75,8,symmetric,,0.1,5,0.32672624489138885
0.75,8,asymmetric,symmetric,0.001,5,0.32917128391042205
0.75,8,asymmetric,symmetric,0.01,5,0.32844984415845035
0.75,8,asymmetric,symmetric,0.1,5,0.3360116124454757
0.75,8,asymmetric,auto,0.001,5,0.32944402993484745
0.75,8,asymmetric,auto,0.01,5,0.33535496585067703
0.75,8,asymmetric,auto,0.1,5,0.32727412434179326
0.75,8,asymmetric,,0.001,5,0.32506160202274353
0.75,8,asymmetric,,0.01,5,0.30474196143970744
0.75,8,asymmetric,,0.1,5,0.3356964488754454
0.75,10,symmetric,symmetric,0.001,5,0.35383727052377656
0.75,10,symmetric,symmetric,0.01,5,0.36444655762726014
